"","x"
"1","beware i saw the manager filling orders for drivethru customers using bare handsno gloves or utensils to pack friesand this is the weirdest thing ever she was fingering plastic cup lids dont know what else to call it she poked her finger through the plastic cup lids in the slit made for straws before inserting straws what the hell for imagine a finger no gloves super long nails painted and this being inserted into every cup lid before inserting the straw why did she need to expose customers to her nails and the shit and germs nails looked filthy underneath she was using her nails as a tool the straw can be used to go through the straw slit no need for a finger nail filthy i saw this going on inside while the poor folks in drivethru didnt see this and the cashier had a bad cold and was wiping his runny nose all over with the back of his hand what can you expect if the manager herself is filthy and polluting the food who knows where her handa been"
"2","this location is quite busy had a good deal on big macs quick and easy food to pick up for the kids on the go"
"3","the managers at this mcdonalds are awesome but some of the workers are lazy „‚overall an average mcdonalds „‚after visiting it and some other once i realized that this one is really average „‚the only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till midnight and no one bothers me"
"4","came here for a quick to go lunch first my cheeseburgers were not right i had requested no onions and they were covered with them then second the fries were so mushy and not fresh i was sorely disappointed"
"5","mcdonalds will be mcdonalds so ive based my review on service alone cashier had no personality he didnt smile or even was interested on working he looked and sounded miserable taking my order the manager on the other hand gave me my food with a smile and even cracked a joke it was a morning shift so that employee needs to cheer up and smile more and spread positive vibes especially when people are just starting their day"
"6","pretty good service for fast food"
"7","what the freaknik is thisthere arecars in the drive thru at am „‚is everybody going to mickey dees todayyou can guess that volumes of business like this means that someones going to get their order wrongand today it was methey put cheese on my steak biscuit but i requested a steak and egg bagel i had to request a straw for my large soda „‚guess i should have checked my sandwich while i looked for the missing strawi expect much better from a mickey dees"
"8","they cant get the orders right „‚i always have to double check my bag before leaving the drive thru theyre open late but they have no lights on at night poor service id rather go to sonics down the street „‚this mc donalds needs improvement „‚bad"
"9","hot tipif you have to go to this location in the mornings lunch hour or evenings it is invariable that the jimmy carter blvd and peachtree industrial intersection just west of this mcdonalds backs up past the entrance to mcdonaldssorather than taking your life in your hands by trying to turn left through three lanes of traffic simply drivefeet pass this mcdonalds and turn left at the traffic light then travel back through the parking lot to your get your mcgrub without inconveniencing all the people in cars trying to get to work or homethis advice makes much more sense than the numbskulls trying to cut through solid traffic just to get some fast food and for you people who chose to live in hidden cove next to and east of mcdonalds you have no luck in being able to pull out easily the traffic is always solid in front of that entranceexit and you really should have chosen another place to live with easy egress i know a clue is a lot to ask for these days"
"10","came to this mcdonalds a couple of times and tried to order a few drinks and their machine did not work for anything no hot chocolate no hot mocha no anything on top of that the lady in the drive thru said it hasnt worked for a couple of months a multi million dollar company and they cant fix the machines „‚wth not coming to this mcd again „‚and they are slowmins to get a drink"
